,Tree_ID,Average_Node_Degree,Reply_to_Node_Ratio,Gini_Coefficient,Nestedness_Score,Structural_Entropy
3315,453998198,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3316,453989762,0.0,0.0,,0.0,0.0
3317,453968662,0.875,0.875,0.3392857142857143,2.25,2.5
3318,453961877,0.0,0.0,,0.0,0.0
3319,453960862,0.5,0.5,0.5,0.5,1.0
3320,453959805,0.0,0.0,,0.0,0.0
3321,453959481,0.0,0.0,,0.0,0.0
3322,453959211,0.5,0.5,0.5,0.5,1.0
3323,453958573,0.8333333333333334,0.8333333333333334,0.6333333333333333,1.1666666666666667,1.4591479170272446
3324,453957191,0.0,0.0,,0.0,0.0
3325,453953807,0.0,0.0,,0.0,0.0
3326,453952779,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3327,453951143,0.5,0.5,0.5,0.5,1.0
3328,453942807,0.0,0.0,,0.0,0.0
3329,453941488,0.0,0.0,,0.0,0.0
3330,453940485,0.0,0.0,,0.0,0.0
3331,453939639,0.5,0.5,0.5,0.5,1.0
3332,453938260,0.0,0.0,,0.0,0.0
3333,453936608,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3334,453931120,0.5,0.5,0.5,0.5,1.0
3335,453917776,0.9411764705882353,0.9411764705882353,0.5955882352941176,2.5294117647058822,2.4980775466236413
3336,453914420,0.5,0.5,0.5,0.5,1.0
3337,453906157,0.0,0.0,,0.0,0.0
3338,453901998,0.8,0.8,0.2,2.0,2.321928094887362
3339,453901518,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3340,453899260,0.0,0.0,,0.0,0.0
3341,453895337,0.0,0.0,,0.0,0.0
3342,453895187,0.0,0.0,,0.0,0.0
3343,453894976,0.0,0.0,,0.0,0.0
3344,453890598,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3345,454105100,0.0,0.0,,0.0,0.0
3346,454102963,0.0,0.0,,0.0,0.0
3347,454099287,0.5,0.5,0.5,0.5,1.0
3348,454098884,0.8333333333333334,0.8333333333333334,0.6333333333333333,1.1666666666666667,1.4591479170272446
3349,454097777,0.0,0.0,,0.0,0.0
3350,454097179,0.0,0.0,,0.0,0.0
3351,454096633,0.5,0.5,0.5,0.5,1.0
3352,454095727,0.5,0.5,0.5,0.5,1.0
3353,454094537,0.0,0.0,,0.0,0.0
3354,454079452,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3355,454078875,0.0,0.0,,0.0,0.0
3356,454078492,0.75,0.75,0.5833333333333334,1.25,1.5
3357,454075687,0.0,0.0,,0.0,0.0
3358,454073372,0.0,0.0,,0.0,0.0
3359,454068629,0.0,0.0,,0.0,0.0
3360,454061148,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3361,454152851,0.8,0.8,0.7,1.4,1.3709505944546687
3362,454152840,0.9444444444444444,0.9444444444444444,0.4738562091503268,3.6666666666666665,2.6416041678685938
3363,454053022,0.0,0.0,,0.0,0.0
3364,454049062,0.0,0.0,,0.0,0.0
3365,454042027,0.0,0.0,,0.0,0.0
3366,454037250,0.0,0.0,,0.0,0.0
3367,454020198,0.5,0.5,0.5,0.5,1.0
3368,454018172,0.0,0.0,,0.0,0.0
3369,454009910,0.0,0.0,,0.0,0.0
3370,454209686,0.5,0.5,0.5,0.5,1.0
3371,454208872,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3372,454203118,0.0,0.0,,0.0,0.0
3373,454202973,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3374,454201420,0.0,0.0,,0.0,0.0
3375,454199212,0.0,0.0,,0.0,0.0
3376,454197654,0.0,0.0,,0.0,0.0
3377,454195574,0.5,0.5,0.5,0.5,1.0
3378,454194863,0.0,0.0,,0.0,0.0
3379,454193416,0.5,0.5,0.5,0.5,1.0
3380,454191030,0.0,0.0,,0.0,0.0
3381,454189904,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3382,454189867,0.0,0.0,,0.0,0.0
3383,454188814,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3384,454187963,0.8,0.8,0.2,2.0,2.321928094887362
3385,454186219,0.0,0.0,,0.0,0.0
3386,454185736,0.0,0.0,,0.0,0.0
3387,454184253,0.0,0.0,,0.0,0.0
3388,454182412,0.0,0.0,,0.0,0.0
3389,454182216,0.0,0.0,,0.0,0.0
3390,454181933,0.5,0.5,0.5,0.5,1.0
3391,454181550,0.5,0.5,0.5,0.5,1.0
3392,454181528,0.5,0.5,0.5,0.5,1.0
3393,454180897,0.75,0.75,0.25,1.5,2.0
3394,454180801,0.5,0.5,0.5,0.5,1.0
3395,454179965,0.0,0.0,,0.0,0.0
3396,454179961,0.75,0.75,0.25,1.5,2.0
3397,454178908,0.5,0.5,0.5,0.5,1.0
3398,454178757,0.75,0.75,0.5833333333333334,1.0,1.5
3399,454178731,0.0,0.0,,0.0,0.0
3400,454178519,0.0,0.0,,0.0,0.0
3401,454178479,0.5,0.5,0.5,0.5,1.0
3402,454178053,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3403,454177684,0.5,0.5,0.5,0.5,1.0
3404,454177587,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3405,454177497,0.75,0.75,0.25,1.5,2.0
